,EndDate,TurkID,Sex,Age,Race,PoliticalOrient,,Negligent,Plaint_Harm,Neg_Cause,Reckless,Reck_Cause,Liability_Def,Liability_Plaint,Damages_Comp,Damages_Pun,Why_Neg,Why_Reck,Attn_Task,Attn_Mandate,Attn_Exposure,Condition,Mandate,Exposure,Remove_Mandate,Remove_Exposure
14,3/13/2021 14:06,A1AZLJ3R5FQ9B7,Female,67,White/European American,2,,1,1,Yes,1,Yes,100,0,72000,500000,"She was negligent because if she did not want to follow the mask mandate, she should have closed the store.",She was reckless in that she refused to follow the mandate and opened her store up to being a place that COVID-19 would flourish.,"Listened and read the trial transcripts and determined the verdict and awarded damages, etc. I also explained my thoughts on the determinations.",Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
15,3/13/2021 14:06,AE73DZ1B5ELB,Male,56,White/European American,5,,1,1,Yes,1,Yes,85,15,72000,3000,"she had control of the mask policy in her store, and should have taken more precautions than she did",Bennett herself and several employers were exposed to covid in her store,i listened to pieces of a civil trial regarding if an employer is responsible for an employee becoming sick at work from exposure to covid,Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
16,3/13/2021 14:06,A3P7AXWF57BHNX,Female,30,White/European American,5,,1,1,Yes,1,Yes,100,0,72000,50000,I found her negligent because her employee got sick from her and she wasn't following the mask mandate that could have prevented her employee from getting sick.,Barbara Bennett was reckless because she didn't wear a mask to help prevent the spread of Covid.,I acted as a juror on a case that involved a business owner and her employee who got sick from Covid and incurred hospital bills because of the illness.,Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
17,3/13/2021 14:07,A16CVCHNHCEZ6Y,Male,42,White/European American,4,,0,1,No,0,NA,0,100,0,0,I believe that the plaintiff failed to argue that Barbara Bennett was negligent because her employee could also have asked the customer to wear a mask and did not.  Her employee also did not express any concern to her at that time due to having an unmasked person in the store.,I did not find her to be reckless because I didn't find her to be negligent.  I think her employee was working and did not object to the customer being without a mask until after she got sick.,I did jury duty,No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
18,3/13/2021 14:07,AHMHG8491PRQW,Female,61,White/European American,7,,1,1,Yes,1,Yes,85,15,72000,0,Barbara Bennett was negligent in not wearing her mask to protect her employees.,Barbara Bennett realized she did not have her mask but refused to go back and get it.,"I was a jury in a case involving a plaintiff, Jennifer Paulson and the defendant, Barbara Bennett.  Jennifer Paulson is suing the owner of the shop where she worked due to Bennett not wearing her mask that morning, and as a result, Paulson got COVID-19.  This lead to her hospitalization which ended up bringing in seventy two thousand dollars worth of hospital bills.  Paulson would like for Bennett to be responsible for those bills to her not being responsible and not wearing a mask, which put her employees at risk and Paulson getting the disease.",Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
19,3/13/2021 14:08,A3EYRDEQ7CXUMN,Male,51,White/European American,4,,1,1,Yes,0,NA,92,8,72000,0,She did not follow state/local requirements and new she should be wearing a mask,"I don't think she intentiallly wanted to harm, she went home to get her mask later","I listened to testimony on the case against a shop owner re: COVID 19 exposure. I then, as the jury, decided on the case and damages as a result. I also decided if Barbara was reckless.",Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
20,3/13/2021 14:08,A27RVVHK9M81ST,Female,59,White/European American,6,,1,1,Yes,0,NA,70,30,20000,0,She did fail to take proper care in the situation.,I don't believe she thought it would cause harm.,An employee was suing her employee because she got COVID at work.  She said she got it from the employer and she was suing her for medical bills.,No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
21,3/13/2021 14:08,A3FNC8ELMK8YJA,Female,59,White/European American,1,,1,1,Yes,1,Yes,100,0,85000,100000,There was a highly infectious virus raging around the world and the defendant should have done everything in her power to keep herself and her employees safe. She did not.,The defendant has been a business woman working with the public for many years. She should have been aware of the circumstances and risks and taken appropriate steps to prevent infection. She did not care if her employees became infected or not.,I listened to the evidence presented by both sides and read the transcripts. I then decided whether or not the defendant was guilty. I then awarded suitable amounts in compensation for the defendant's culpability and negligence.,No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
22,3/13/2021 14:09,A2ZY1EZJK7UMLP,Male,24,White/European American,5,,1,1,Yes,1,Yes,95,5,90000,80000,"i found the defendant negligent based on the facts of the case, mainly the testimony of the contact tracer for the health department stating it was the defendant that caused the plaintiff to get ill. Another major part of my decision was based off how likely it could have been prevented had the defendant just followed the states mandate to wear a mask while in public.","The biggest part of my reasoning for finding the defendant reckless was that she is A) the owner of the business that is said to be the place where the plaintiff obtained the covid virus from, B) That the defendant knew it was mandated to have a facial covering while in public on the date in question, and C) that although the defendant knew the risks that were present if she didnt stop everything she was doing and promptly find a mask, yet continued for more then half of the day without one, resulting in the plaintiffs illness, and later on her hospital stay.",I listened to the facts of a civil trial regarding a business owner allegedly causing the COVID virus to be transmitted due to reckless and negligent behavior on her part.,Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
23,3/13/2021 14:09,A3D3X3OH3EXBTM,Female,49,White/European American,2,,1,1,Yes,1,Yes,100,0,72000,0,I found the defendant negligent because she stayed in the store without a mask.,I found the defendant reckless because she stayed in the store without a mask even though she knew that mask wearing helps prevent disease spread.,I listened to arguments for and against finding an employer responsible for paying the hospital bills of an employee who got sick on the job.,No,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",NoMandate/OwnerForgotMask,NoMandate,OwnForgotMask,keep,keep
24,3/13/2021 14:09,ANCFK2IYDQCM5,Male,31,White/European American,4,,0,0,NA,0,NA,50,50,0,0,Unles there is a dna detailed way that proves Jennifer got COVID the time she didn't have a mask then you cannot say she was reckless. She could have left if ahe was in fear.,She did not do it out of carelessness.,Pretended to be on the jury for a case where and employee was suing her employer for recklessness because she contracted COVID.,Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
25,3/13/2021 14:10,A2CVC5FO8BKDEI,Male,47,White/European American,5,,1,1,Yes,1,Yes,100,0,72000,100000,she was clearly foolish in the way she handled COVID in her business,she was certainly reckless and didnt care for anyone but her cash register,I listened to the reckless behavior of a business owner and decide to award money based on her behavior thru a lawsuit,No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
26,3/13/2021 14:11,A2HUAHAD7YHPZV,Female,62,White/European American,2,,0,1,No,0,NA,10,90,0,0,There is no substantial evidence that the plaintiff definitely contracted Covid at the workplace.,"The plaintiff chose to work in the public sector and could have left the shop of her own free will, since it was slow, when an unmasked customer entered.","I sat in front of the laptop and listened to the audio provided, as well as read the transcript.",No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
27,3/13/2021 14:11,A1571YW9NC5EWK,Male,34,Black/African American,2,,0,1,No,0,NA,52,48,0,0,The sign was posted on wearing a mask in the store. But neither Jennifer nor Barbara said anything. If Jennifer had spoken up and Barbara overruled her then I would have thought differently,Because Jennifer had an opportunity just as well as Barbara to speak up on the customer that walked in without the mask,I was a juror in a civil case because someone caught covid while at work. Jennifer Paulson was the plaintiff,No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
28,3/13/2021 14:12,A3OJGWW5NPC8E5,Female,32,White/European American,4,,1,0,No,0,NA,79,21,1000,2000,She made a mistake but she forgot to wear her mask for a few hours,It was a mistake jennifer could have left and was she wearing a msk?,Overlooked a mock jury and decided the outcome of a civil case about catching Corona virus,Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
29,3/13/2021 14:12,A2BEH9YQPHKP6A,Female,49,White/European American,5,,0,1,No,0,NA,50,50,0,0,"She was following guidelines by allowing customers in without a mask, nothing required them to wear them","She definitely wasn't reckless because she didn't know she was infected with the virus, she didn't knowingly pass it on to others",I listened to testimony and statements from a trial.,No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
30,3/13/2021 14:13,A41X7MP65BTSP,Female,NA,White/European American,6,,1,1,Yes,1,Yes,75,25,72000,20000,It was recommended by the cdc so Barbara has reasonable knowledge that not wearing a mask would expose her employees to covid if she got sick,Failure to wear a mask is reckless,I listened to testimony regarding an employee who was suing her boss for medical bills incured at catching covid from her boss who forgot her mask at home,No,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",NoMandate/OwnerForgotMask,NoMandate,OwnForgotMask,keep,keep
31,3/13/2021 14:14,A1969Q0R4Y0E3J,Female,25,White/European American,2,,0,0,NA,0,NA,0,100,0,0,I did not find Barbara negligent because she had no control over the customer's actions and had no idea they had COVID-19.,I did not find Barbara's actions to be reckless because she did nothing wrong and was not required by law to have her customers wearing masks.,I heard about a legal case involving an employee suing her employer for damages due to the employee contracting COVID-19 while on the job and from there I made a decision as to whether or not the employer should be held responsible or not.,No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
32,3/13/2021 14:14,A77K8W55MJEKX,Female,48,Asian/Pacific Islander,2,,1,1,Yes,1,Yes,89,11,75000,5000,"As an employer, Barbara should have enforced the mask mandate to protect her employees","Barbara knowingly neglected to inform the customer of wearing the mask, she was more interested in doing business and not losing a customer",I acted as a juror in deciding whether a store owner can be held guilty and can be charged for not enforcing masks as a result of which one of her employees contracted covid-19,No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
33,3/13/2021 14:15,A1LL0Q62O91ZIM,Male,61,Hispanic/Latino,6,,0,0,NA,0,NA,50,50,0,0,The plaintist  was allowed to make the decisone to wear a mask.  The employee contributed equally.,She was not reckless.  the plaintift failed to prove that she was reckless.,"I listened to the plaintiff's and defendant's testimonies.  Also, I read alone with the recordings, the transcripts of all the testimonies.",Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
34,3/13/2021 14:16,A3F69R5AE77SOL,Male,37,White/European American,5,,1,1,Yes,1,Yes,60,40,35000,35000,She was negligent because it was her duty to maintain a safe work environment,She was reckless my not remembering to wear her mask,I listened to the evidence and gave my opinion on the case,No,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",NoMandate/OwnerForgotMask,NoMandate,OwnForgotMask,keep,keep
35,3/13/2021 14:18,A3IFHHN2SX52XK,Female,36,Asian/Pacific Islander,3,,0,1,No,0,NA,0,100,0,0,"I did not find the defendant to be negligent because there was not a mask mandate in place. As the owner of a private business she has the right to ask or not ask customers to wear a mask. There was a sign on the door but she did not force the customer to do so and was taking the necessary precautions of wearing a mask herself. The employee/plaintiff was also wearing a mask. Furthermore, the employee did not speak up about being uncomfortable that the customer was not wearing a mask. Though the plaintiff did suffer harm, I do not feel that it was at the fault of Barbara Bennett.","Because I did not find Barbara Bennett to be negligent, it follow that I did not find her to be reckless either.","I read the testimony from a trial and made a decision of guilt or innocence based on what I had read and on the directive of the judge. Based on my decision, I then awarded damages.",No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
36,3/13/2021 14:18,A30KFZ037789F3,Female,72,White/European American,5,,1,1,Yes,1,Yes,91,9,72000,0,"She forgot her mask from home but, she could have fashioned one from a piece of material on hand, or bought one in the vicinity.",She didn't do all in her power to protect her employees from harm.,I listened to and read along with the transcripts of a court case and then rendered my judgement.,No,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",NoMandate/OwnerForgotMask,NoMandate,OwnForgotMask,keep,keep
37,3/13/2021 14:18,A5EP8OIKS4AGT,Male,67,White/European American,2,,1,1,Yes,1,Yes,82,18,72000,25000,She did not wear a mask and was not requiring anyone that came into the store to wear one.,There was a mask mandate and she ignored it at a time when it was publicized that masks help prevent the spread of Covid.,I listened (and read) the testimony of a court case where an employee was suing her employer because she caught Covid from the owner and incurred medical expenses as a result.,Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
38,3/13/2021 14:18,A22BHAGI31AYR3,Female,34,White/European American,1,,1,1,Yes,1,Yes,100,0,100000,1000000,she could have prevented it,she knew the possibility of illness,I pretended to be a juror for a covid-19 case.,No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
39,3/13/2021 14:22,A3I55L67X0MWC4,Female,53,White/European American,4,,1,1,Yes,1,Yes,100,0,72000,0,She was negligent because she knew there was a county wide mandate for maskwearing and she did not go home to get hers for several hours,"She was reckless because she knew a pandemic was going on and that masks can help stop the spread.  And she knew that people can get very sick and some even die.  For this reason, it was reckless to go without a mask for the whole morning.",I listened to testimony from a case and rendered a verdict.,Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
40,3/13/2021 14:23,A1KRO0JWU6LT0I,Female,37,White/European American,4,,1,1,Yes,1,Yes,90,10,35000,0,She didn't follow the law and deliberately chose not to wear a mask herself,She didn't follow the law and deliberately chose not to wear a mask herself,We did a survey about a court case involving someone who got sick because her employer didn't wear a mask at work,Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
41,3/13/2021 14:23,A351LMMMFYPM7U,Male,73,White/European American,4,,1,1,Yes,0,NA,100,0,72000,0,She had a sign on her store's front door indicating a mask mandate.  She could have gone home to get her mask as soon as another employee showed up for work.,No evidence of her being reckless,Listed to court proceedings on a case involving civil issues related to negligence and possible reckless behavior.,No,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",NoMandate/OwnerForgotMask,NoMandate,OwnForgotMask,keep,keep
42,3/13/2021 14:24,A1LFOS4GL90HWU,Female,39,White/European American,7,,0,1,No,0,NA,0,100,0,0,She isn't negligent because there was no madk mandate.,She is not reckless because she did nothing that she thought would cause harm.,I listened to both sides if a story about an employee being infected with Covid by a customer who didn't wear a mask.,No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
43,3/13/2021 14:24,A1W845RVTAYPYN,Male,32,Asian/Pacific Islander,6,,1,1,Yes,1,Yes,100,0,60000,0,she forgot her mask and caused the illness,"yes, because she forgot her mask",We listened to the judge and both sides about the incident discussing whether or not the store owner is liable for the virus becuase she's rushing and didn't put on a mask in her own store.,No,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",NoMandate/OwnerForgotMask,NoMandate,OwnForgotMask,keep,keep
44,3/13/2021 14:25,AS1KP4SMNONQC,Female,38,White/European American,4,,0,0,NA,0,NA,0,100,0,0,She was not negligent. She cannot be left in charge of another person's health.,It is up to the plaintiff to protect her own health and take precautions to keep herself healthy rather than try to place blame on someone,I was a juror for a case to determine whether a store owner was negligent and caused her employee to contract covid and require hospitalization,No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
45,3/13/2021 14:25,A1REJE4H1kLBXY,Female,67,White/European American,6,,1,1,Yes,0,NA,100,0,72000,28000,I thought she was negligent,I did not find her reckless becuse I thought she did not intend to harm her employees.,I weighed the evidence in the case and provided my best judgement of what the outcome should be.,Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
46,3/13/2021 14:26,A1UZ91EFSJFUM8,Female,43,White/European American,4,,0,0,NA,0,NA,0,100,0,0,"If the plaintiff was so worried about getting COVID, she could have just worn a mask.",She was not requiring people to wear masks but they could wear them if they wanted to.,"I had to listen to testimony about a plaintiff who contacted COVID and was suing her employer for $72,000 to pay her medical bills.",No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
47,3/13/2021 14:27,A2F1AA15HG0FRU,Male,45,White/European American,3,,1,1,Yes,1,Yes,10,90,72000,100000,"By June, a reasonable person should've understood the danger that the virus posed. Not requiring employees, at the least, to wear masks was negligent.","For much the same reason above. Additionally, putting up a sign proclaiming that masks aren't required seems worse than simply doing nothing, since it normalizes the behavior (not wearing a mask) for customers.",I listened to testimony in a civil suit and rendered a verdict.,No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
48,3/13/2021 14:29,A248PLZABUKB62,Male,55,White/European American,6,,1,1,Yes,1,Yes,100,0,72000,80000,"Based on a preponderance of the evidence, it is more likely than not that the plaintiff got the disease from either the defendant or one of the defendant's customers who was not wearing a mask.  However, I almost rule in favor of the defendant because there was no expert testimony that masks are protective.  In a real case, that would have been required.","Although there was no expert testimony provided regarding mask effectiveness, I'm assuming we were supposed to accept it as fact.  As a result, Ms. Bennett's failure to follow the county mandate was reckless.",I was a mock juror in the case of Jennifer Paulson v. Barbara Bennett.,Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
49,3/13/2021 14:34,A19Z68L0RHQVWL,Female,36,White/European American,4,,0,1,No,0,NA,0,100,0,0,"There was no mask mandate.  She was having the workers wear them to try and slow the spread, but she didn't want to enforce masks when there was no right to do that on the customers.",She did everything she could to protect her workers.,Determine if an employer was responsible for her employee getting COVID.,No,A customer shopped at her place of employment unmasked,NoMandate/CustomerNoMask,NoMandate,CustNoMask,keep,keep
50,3/13/2021 14:35,A32CLUNHC3UFAQ,Female,36,Black/African American,2,,1,1,Yes,1,Yes,100,0,72000,400000,She knew it was a pandemic and COVID could cause harm or death.,She was reckless because she disregarded the public mandate to wear masks.,A juror on a mock trial deciding if an employer was negligent for their employee contracting COVID.,Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
51,3/13/2021 14:35,A3336DJ8RF4GDQ,Female,36,White/European American,5,,1,1,Yes,1,Yes,100,0,72000,28000,She should have had a mask on.,She should have had extra masks in her car or business.,I was a juror that decided a case,No,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",NoMandate/OwnerForgotMask,NoMandate,OwnForgotMask,keep,keep
52,3/13/2021 14:35,A2137K4XEU12TI,Female,45,White/European American,3,,1,1,Yes,1,Yes,90,10,72000,3000,"Defendant was negligent because she should not have spent all morning without a mask in the store, she could have opened it and gone to buy a mask right away",She was reckless because she out people in harm’s way just because she wanted to open her store and do business,I was a juror in a case against Barbara Bennett a store owner who is accused by her employee to have acted negligently and recklessly by opening the store on June 17 without a mask and staying there the whole morning maskless notwithstanding a mask mandate in the county. Store owner tested positive the day after.,Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
53,3/13/2021 14:35,A19DMQA74225ZI,Female,25,White/European American,4,,0,1,No,0,NA,50,50,0,72000,Everyone has the right to make their own choices regarding their bodies.,"The Plaintiff could have worn a mask, it was unclear if she did or did not.",During this study I served as a juror to determine whether or not a Defendant should be held negligent and/or reckless for an employee who contracted COVID and was hospitalized.,Yes,"Her boss, Barbara Bennett, did not require masks in her store.",Mandate/OwnerNoMask,Mandate,OwnNoMask,keep,keep
54,3/13/2021 14:35,A3EEGNK5UKN9KE,Male,51,White/European American,2,,1,1,Yes,1,Yes,100,0,72000,25000,Wearing a mask and requiring those who enter your store to wear a mask is such an easy common sense way to keep everyone safe.  Thus I find failure to require mask to be both negligent and reckless.,We were all aware by this time that masks provide strong protection against Covid.  Thus failure to follow such an easy and effective safety measure is reckless in my opinion.,I evaluated whether a store owner who did require masks in her store was responsible for damages when her employee got Covid.,No,"Her boss, Barbara Bennett, did not require masks in her store.",NoMandate/OwnerNoMask,NoMandate,OwnNoMask,keep,keep
55,3/13/2021 14:36,A1KAM5ZQ964VBE,Female,67,White/European American,4,,1,1,Yes,1,Yes,100,0,72000,0,Barbara was negligent because she knew there was a mask mandate for all public places and should have made sure she wore one or had some extras in the store in case she or an employee forgot theirs.,"Barbara was reckless because she should not have been in the store without a mask, even for just a few hours.  She should have gone home after opening the store to get a mask or purchased one at a nearby convenience store.  She put her employees in jeopardy even if she didn’t have symptoms at that point.",Determined if the store owner was guilty of causing employees to contract COVID-19.,Yes,"Her boss, Barbara Bennett, forgot to wear her mask for a few hours.",Mandate/OwnerForgotMask,Mandate,OwnForgotMask,keep,keep
